iso3,value,value.sd,quantity
AFG,953938.936786659,8436.47298971188,totnewtx
ALB,24859.6914546917,336.695359779123,totnewtx
DZA,665852.158353547,4611.13894234369,totnewtx
ASM,175.18125,1.0948828125,totnewtx
AND,439.704697986577,5.90207648304131,totnewtx
AGO,1052742.63675345,40396.9587569694,totnewtx
AIA,9,0,totnewtx
ATG,125.539130434783,2.18328922495274,totnewtx
ARG,476227.04133949,3045.95250343551,totnewtx
ARM,41325.9153315946,913.219414191322,totnewtx
ABW,319.390243902439,3.89500297441999,totnewtx
AUS,45318.5459820401,351.186954818853,totnewtx
AUT,44956.7698294949,20.5230512106525,totnewtx
AZE,167410.876785714,11361.8806017279,totnewtx
BHS,2202.21755545068,17.6676255038516,totnewtx
BHR,7218.76173230723,2.17859113695706,totnewtx
BGD,4168545.17766051,50026.5666607239,totnewtx
BRB,292.563176895307,4.22473901653873,totnewtx
BLR,177069.019045625,6527.05324800235,totnewtx
BEL,54627.7726395855,388.4133092932,totnewtx
BLZ,3148.35139367366,98.6016722102619,totnewtx
BEN,108971.776410098,2477.29238227551,totnewtx
BMU,84,0,totnewtx
BTN,42466.0955303191,648.009592983402,totnewtx
BOL,338893.060579533,5147.4177815576,totnewtx
BES,0.5,0.0249427157870007,totnewtx
BIH,95929.4288614997,1598.4794892319,totnewtx
BWA,224886.322999377,5373.07872746613,totnewtx
BRA,3141647.08220138,54483.428917979,totnewtx
VGB,43,0,totnewtx
BRN,8168.60271716756,134.583060114031,totnewtx
BGR,105414.244762176,2966.03627190646,totnewtx
BFA,122671.392966425,920.288262863513,totnewtx
BDI,203352.456055029,2675.08661294731,totnewtx
CPV,10556.6503428012,221.941473696847,totnewtx
KHM,870548.248004581,11227.1428419053,totnewtx
CMR,502159.991864026,4157.04204614177,totnewtx
CAN,68528.1226631997,2136.17608481566,totnewtx
CYM,78,0,totnewtx
CAF,176819.624918664,2538.89920160105,totnewtx
TCD,207535.073086659,4789.61484448933,totnewtx
CHL,160050.653213311,1931.66409810014,totnewtx
CHN,20982842.4472029,450074.177132505,totnewtx
HKG,235191.657318149,4861.97775143599,totnewtx
MAC,16107.9049594689,406.657672747056,totnewtx
COL,449575.420028001,5238.4643884994,totnewtx
COM,5609.55687409551,92.5455113816047,totnewtx
COG,249807.28192077,1493.90833071439,totnewtx
COK,96.8571428571429,1.97667638483965,totnewtx
CRI,18294.5359281437,317.689546057586,totnewtx
CIV,575045.295672318,4468.00144358999,totnewtx
HRV,71843.1704781705,882.415569118573,totnewtx
CUB,32431.5718157182,319.358865803415,totnewtx
CUW,54,0,totnewtx
CYP,1804.40476190476,7.16033635676493,totnewtx
CZE,66764.4681103486,134.35310226594,totnewtx
PRK,1489780.60839338,32328.3330188725,totnewtx
COD,2716166.03147907,33453.4641618196,totnewtx
DNK,14739.5381214718,142.35288126566,totnewtx
DJI,108797.982337008,770.690707890094,totnewtx
DMA,370.794029850746,7.74793495210515,totnewtx
DOM,146972.996617636,3219.88116927807,totnewtx
ECU,225271.112347549,5555.0057165472,totnewtx
EGY,294138.667181893,2573.59986594716,totnewtx
SLV,81479.6171069245,827.511168456931,totnewtx
GNQ,21641.7464943837,244.683133406878,totnewtx
ERI,191068.806763755,1492.90145495437,totnewtx
EST,17227.6077487023,458.128863953638,totnewtx
SWZ,164275.272736983,5234.07646568634,totnewtx
ETH,3796194.62879978,10502.6581157156,totnewtx
FJI,8306.5253600501,46.8119776082973,totnewtx
FIN,29822.624271812,53.2242006399985,totnewtx
FRA,306202.701283756,558.95252917926,totnewtx
PYF,2570.95998430757,71.6116747296342,totnewtx
GAB,95976.7306575558,1525.49836366428,totnewtx
GMB,55854.4308170814,924.959891641311,totnewtx
GEO,128897.957069697,2908.26836646737,totnewtx
DEU,442400.965329189,1600.38887480985,totnewtx
GHA,398602.947901621,3462.80747359299,totnewtx
GRC,49511.1616420513,143.543778369358,totnewtx
GRL,2778.01492537313,72.5600913343729,totnewtx
GRD,108,0,totnewtx
GUM,2504.80500255232,16.6219831716081,totnewtx
GTM,148597.988375439,2581.63210856711,totnewtx
GIN,243061.057317664,1764.36453899926,totnewtx
GNB,57597.5594434137,989.171112737273,totnewtx
GUY,15648.7453107056,359.419950992346,totnewtx
HTI,432870.711763897,1657.74500358323,totnewtx
HND,134992.363552739,2471.60442808639,totnewtx
HUN,113646.768662719,2185.14075493847,totnewtx
ISL,523.034285714286,5.97753469387755,totnewtx
IND,50013994.4010409,1025470.96234376,totnewtx
IDN,6989237.14923949,50493.7850138647,totnewtx
IRN,462548.661848068,1005.43047821228,totnewtx
IRQ,462671.352371572,8298.01811408194,totnewtx
IRL,20579.9448316482,43.4346533700241,totnewtx
ISR,13915.873689538,129.791606243251,totnewtx
ITA,158343.825395579,1063.12749391982,totnewtx
JAM,4479.23139946856,76.373077448866,totnewtx
JPN,1510380.74018303,17189.1227594949,totnewtx
JOR,17755.6689730101,80.2091633616077,totnewtx
KAZ,634325.122521454,27873.1597850619,totnewtx
KEN,2184005.85199897,22988.4483067597,totnewtx
KIR,10264.241252302,88.2132458761377,totnewtx
KWT,25019.5306594041,25.8103600926427,totnewtx
KGZ,185894.437747364,3194.63001049008,totnewtx
LAO,144891.607515073,1483.5748235402,totnewtx
LVA,42649.6946008828,1045.53704588594,totnewtx
LBN,30697.2122236886,164.575948081471,totnewtx
LSO,266354.979751297,1723.30032912525,totnewtx
LBR,130121.693019686,658.013708738147,totnewtx
LBY,48947.7296019216,74.7069208526338,totnewtx
LTU,68904.6330033454,3042.75833807839,totnewtx
